application,window,seed,partition,level,cluster,training_mapped_level,count
HTTP,20,21,validation,Medium,1,High,277
HTTP,20,21,validation,Medium,2,Medium,0
HTTP,20,21,validation,High,0,Low,355
HTTP,20,21,validation,High,1,High,328
HTTP,20,21,validation,High,2,Medium,95
HTTP,20,42,train,Low,0,Low,378
HTTP,20,42,train,Low,1,Medium,19
HTTP,20,42,train,Low,2,High,33
HTTP,20,42,train,Medium,0,Low,306
HTTP,20,42,train,Medium,1,Medium,48
HTTP,20,42,train,Medium,2,High,279
HTTP,20,42,train,High,0,Low,188
HTTP,20,42,train,High,1,Medium,128
HTTP,20,42,train,High,2,High,397
HTTP,20,42,validation,Low,0,Low,419
HTTP,20,42,validation,Low,1,Medium,0
HTTP,20,42,validation,Low,2,High,0
HTTP,20,42,validation,Medium,0,Low,125
HTTP,20,42,validation,Medium,1,Medium,21
HTTP,20,42,validation,Medium,2,High,659
HTTP,20,42,validation,High,0,Low,19
HTTP,20,42,validation,High,1,Medium,176
HTTP,20,42,validation,High,2,High,583
HTTP,20,84,train,Low,0,Medium,19
HTTP,20,84,train,Low,1,Low,387
HTTP,20,84,train,Low,2,High,24
HTTP,20,84,train,Medium,0,Medium,27
HTTP,20,84,train,Medium,1,Low,427
HTTP,20,84,train,Medium,2,High,179
HTTP,20,84,train,High,0,Medium,81
HTTP,20,84,train,High,1,Low,307
HTTP,20,84,train,High,2,High,325
HTTP,20,84,validation,Low,0,Medium,0
HTTP,20,84,validation,Low,1,Low,419
HTTP,20,84,validation,Low,2,High,0
HTTP,20,84,validation,Medium,0,Medium,10
HTTP,20,84,validation,Medium,1,Low,353
HTTP,20,84,validation,Medium,2,High,442
HTTP,20,84,validation,High,0,Medium,131
HTTP,20,84,validation,High,1,Low,201
HTTP,20,84,validation,High,2,High,446
HTTP,20,123,train,Low,0,Medium,22
HTTP,20,123,train,Low,1,High,38
HTTP,20,123,train,Low,2,Low,370
HTTP,20,123,train,Medium,0,Medium,48
HTTP,20,123,train,Medium,1,High,321
HTTP,20,123,train,Medium,2,Low,264
HTTP,20,123,train,High,0,Medium,131
HTTP,20,123,train,High,1,High,440
HTTP,20,123,train,High,2,Low,142
HTTP,20,123,validation,Low,0,Medium,0
HTTP,20,123,validation,Low,1,High,0
HTTP,20,123,validation,Low,2,Low,419
HTTP,20,123,validation,Medium,0,Medium,22
HTTP,20,123,validation,Medium,1,High,714
HTTP,20,123,validation,Medium,2,Low,69
HTTP,20,123,validation,High,0,Medium,195
HTTP,20,123,validation,High,1,High,580
HTTP,20,123,validation,High,2,Low,3
SFTP,1,0,train,Low,0,Low,2212
SFTP,1,0,train,Low,1,Medium,41
SFTP,1,0,train,Low,2,High,432
