TcpRtt,SynAck,AckDat,100,010,001,110,101,011,111,label
0.168993,0.0,0.168993,0,0,0,0,0,0,0,0
0.001575,0.001575,0.0,0,0,0,0,0,0,0,0
0.001575,0.001575,0.0,0,0,0,0,0,0,0,0
0.168993,0.0,0.168993,0,0,0,0,0,0,0,0
0.000502,0.000502,0.0,0,0,0,0,0,0,0,0
0.168125,0.000504,0.167621,0,0,0,0,0,0,0,0
0.168125,0.000504,0.167621,0,0,0,0,0,0,0,0
0.168125,0.000504,0.167621,0,0,0,0,0,0,0,0
0.168125,0.000504,0.167621,0,0,0,0,0,0,0,0
0.169691,0.00088,0.168811,0,0,0,0,0,0,0,0
0.168811,0.0,0.168811,0,0,0,0,0,0,0,0
0.169691,0.00088,0.168811,0,0,0,0,0,0,0,0
0.168811,0.0,0.168811,0,0,0,0,0,0,0,0
0.16973,0.001575,0.168155,0,0,0,0,0,0,0,0
0.170239,0.001575,0.168664,0,0,0,0,0,0,0,0
0.16973,0.001575,0.168155,0,0,0,0,0,0,0,0
0.16973,0.001575,0.168155,0,0,0,0,0,0,0,0
0.170239,0.001575,0.168664,0,0,0,0,0,0,0,0
0.16973,0.001575,0.168155,0,0,0,0,0,0,0,0
0.168951,0.000502,0.168449,0,0,0,0,0,0,0,0
0.168951,0.000502,0.168449,0,0,0,0,0,0,0,0
0.168951,0.000502,0.168449,0,0,0,0,0,0,0,0
0.168125,0.000504,0.167621,0,0,0,0,0,0,0,0
0.000985,0.000985,0.0,0,0,0,0,0,0,0,0
0.168125,0.000504,0.167621,0,0,0,0,0,0,0,0
0.169691,0.00088,0.168811,0,0,0,0,0,0,0,0
0.168811,0.0,0.168811,0,0,0,0,0,0,0,0
0.000498,0.000498,0.0,0,0,0,0,0,0,0,0
0.169691,0.00088,0.168811,0,0,0,0,0,0,0,0
0.170239,0.001575,0.168664,0,0,0,0,0,0,0,0
0.16973,0.001575,0.168155,0,0,0,0,0,0,0,0
0.170239,0.001575,0.168664,0,0,0,0,0,0,0,0
0.16973,0.001575,0.168155,0,0,0,0,0,0,0,0
0.170239,0.001575,0.168664,0,0,0,0,0,0,0,0
0.168951,0.000502,0.168449,0,0,0,0,0,0,0,0
0.168352,0.000985,0.167367,0,0,0,0,0,0,0,0
0.168352,0.000985,0.167367,0,0,0,0,0,0,0,0
0.168352,0.000985,0.167367,0,0,0,0,0,0,0,0
0.168828,0.000498,0.16833,0,0,0,0,0,0,0,0
0.168828,0.000498,0.16833,0,0,0,0,0,0,0,0
0.168828,0.000498,0.16833,0,0,0,0,0,0,0,0
0.168352,0.000985,0.167367,0,0,0,0,0,0,0,0
0.168352,0.000985,0.167367,0,0,0,0,0,0,0,0
0.168828,0.000498,0.16833,0,0,0,0,0,0,0,0
0.168828,0.000498,0.16833,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.000499,0.000499,0.0,0,0,0,0,0,0,0,0
0.000996,0.000996,0.0,0,0,0,0,0,0,0,0
0.000996,0.000996,0.0,0,0,0,0,0,0,0,0
0.000497,0.000497,0.0,0,0,0,0,0,0,0,0
0.001323,0.001323,0.0,0,0,0,0,0,0,0,0
0.001323,0.001323,0.0,0,0,0,0,0,0,0,0
0.155679,0.001323,0.154356,0,0,0,0,0,0,0,0
0.168766,0.001323,0.167443,0,0,0,0,0,0,0,0
0.167942,0.000499,0.167443,0,0,0,0,0,0,0,0
0.168623,0.000996,0.167627,0,0,0,0,0,0,0,0
0.168623,0.000996,0.167627,0,0,0,0,0,0,0,0
0.168124,0.000497,0.167627,0,0,0,0,0,0,0,0
0.155679,0.001323,0.154356,0,0,0,0,0,0,0,0
0.168766,0.001323,0.167443,0,0,0,0,0,0,0,0
0.167942,0.000499,0.167443,0,0,0,0,0,0,0,0
0.168623,0.000996,0.167627,0,0,0,0,0,0,0,0
0.155679,0.001323,0.154356,0,0,0,0,0,0,0,0
0.167942,0.000499,0.167443,0,0,0,0,0,0,0,0
0.167942,0.000499,0.167443,0,0,0,0,0,0,0,0
0.168623,0.000996,0.167627,0,0,0,0,0,0,0,0
0.168623,0.000996,0.167627,0,0,0,0,0,0,0,0
0.168766,0.001323,0.167443,0,0,0,0,0,0,0,0
0.168766,0.001323,0.167443,0,0,0,0,0,0,0,0
0.155679,0.001323,0.154356,0,0,0,0,0,0,0,0
0.167942,0.000499,0.167443,0,0,0,0,0,0,0,0
0.168623,0.000996,0.167627,0,0,0,0,0,0,0,0
0.155679,0.001323,0.154356,0,0,0,0,0,0,0,0
0.167942,0.000499,0.167443,0,0,0,0,0,0,0,0
0.155679,0.001323,0.154356,0,0,0,0,0,0,0,0
0.168766,0.001323,0.167443,0,0,0,0,0,0,0,0
0.168766,0.001323,0.167443,0,0,0,0,0,0,0,0
0.000487,0.000487,0.0,0,0,0,0,0,0,0,0
0.168623,0.000996,0.167627,0,0,0,0,0,0,0,0
0.153834,0.000487,0.153347,0,0,0,0,0,0,0,0
0.153834,0.000487,0.153347,0,0,0,0,0,0,0,0
0.153834,0.000487,0.153347,0,0,0,0,0,0,0,0
0.153834,0.000487,0.153347,0,0,0,0,0,0,0,0
0.153834,0.000487,0.153347,0,0,0,0,0,0,0,0
0.153834,0.000487,0.153347,0,0,0,0,0,0,0,0
0.153834,0.000487,0.153347,0,0,0,0,0,0,0,0
0.168124,0.000497,0.167627,0,0,0,0,0,0,0,0
0.168623,0.000996,0.167627,0,0,0,0,0,0,0,0
0.168623,0.000996,0.167627,0,0,0,0,0,0,0,0
0.168124,0.000497,0.167627,0,0,0,0,0,0,0,0
0.168623,0.000996,0.167627,0,0,0,0,0,0,0,0
0.168124,0.000497,0.167627,0,0,0,0,0,0,0,0
