TcpRtt,class,label
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.059734,HTTP,7
0.059734,HTTP,7
0.059734,HTTP,7
0.060226,HTTP,7
0.059734,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.060226,HTTP,7
0.000819,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.062569,HTTP,7
0.000994,HTTP,7
0.001322,HTTP,7
0.001322,HTTP,7
0.001322,HTTP,7
0.183847,HTTP,7
0.183847,HTTP,7
0.183847,HTTP,7
0.183847,HTTP,7
0.0,HTTP,7
0.0,HTTP,7
0.0,HTTP,7
0.0,HTTP,7
0.0,HTTP,7
0.0,HTTP,7
0.002005,HTTP,7
0.001505,HTTP,7
0.001505,HTTP,7
0.001736,HTTP,7
0.001736,HTTP,7
0.001235,HTTP,7
0.185258,HTTP,7
0.184758,HTTP,7
0.184758,HTTP,7
0.18425,HTTP,7
0.184747,HTTP,7
0.18425,HTTP,7
0.185239,HTTP,7
0.184758,HTTP,7
0.184758,HTTP,7
0.184747,HTTP,7
0.185258,HTTP,7
0.185258,HTTP,7
0.185258,HTTP,7
0.184758,HTTP,7
0.184758,HTTP,7
0.184758,HTTP,7
0.18425,HTTP,7
0.184747,HTTP,7
0.185239,HTTP,7
0.184747,HTTP,7
0.185239,HTTP,7
0.000513,HTTP,7
0.000513,HTTP,7
0.184747,HTTP,7
0.185258,HTTP,7
0.184727,HTTP,7
0.185236,HTTP,7
0.185236,HTTP,7
0.184727,HTTP,7
0.184727,HTTP,7
0.184758,HTTP,7
0.185236,HTTP,7
0.185236,HTTP,7
0.184758,HTTP,7
0.18425,HTTP,7
0.184727,HTTP,7
0.184758,HTTP,7
0.185236,HTTP,7
0.000497,HTTP,7
0.184727,HTTP,7
0.184758,HTTP,7
0.18425,HTTP,7
0.170307,HTTP,7
0.170307,HTTP,7
0.170307,HTTP,7
0.000994,HTTP,7
0.170307,HTTP,7
0.185236,HTTP,7
0.185258,HTTP,7
0.184758,HTTP,7
0.184703,HTTP,7
0.185236,HTTP,7
0.184703,HTTP,7
0.185258,HTTP,7
0.184758,HTTP,7
0.185258,HTTP,7
0.184758,HTTP,7
0.184758,HTTP,7
0.18425,HTTP,7
0.184703,HTTP,7
0.184703,HTTP,7
0.185258,HTTP,7
0.184758,HTTP,7
0.185258,HTTP,7
0.184758,HTTP,7
0.185258,HTTP,7
0.185258,HTTP,7
0.185236,HTTP,7
0.185236,HTTP,7
0.185236,HTTP,7
0.185236,HTTP,7
0.185236,HTTP,7
0.185236,HTTP,7
0.185236,HTTP,7
0.000497,HTTP,7
0.18425,HTTP,7
0.184758,HTTP,7
0.0,HTTP,7
0.00149,HTTP,7
0.184758,HTTP,7
0.18425,HTTP,7
0.000983,HTTP,7
0.000983,HTTP,7
0.184758,HTTP,7
0.18425,HTTP,7
0.000497,HTTP,7
0.000497,HTTP,7
0.000497,HTTP,7
0.00149,HTTP,7
0.00149,HTTP,7
0.18425,HTTP,7
0.184758,HTTP,7
0.000983,HTTP,7
0.000983,HTTP,7
0.00149,HTTP,7
0.184758,HTTP,7
0.18425,HTTP,7
0.184758,HTTP,7
0.18425,HTTP,7
0.130673,HTTP,7
0.130673,HTTP,7
0.130673,HTTP,7
0.130673,HTTP,7
0.130673,HTTP,7
0.130673,HTTP,7
0.184758,HTTP,7
0.18425,HTTP,7
0.000497,HTTP,7
0.130673,HTTP,7
0.000983,HTTP,7
0.000983,HTTP,7
0.130673,HTTP,7
0.000983,HTTP,7
0.169142,HTTP,7
0.169142,HTTP,7
0.169142,HTTP,7
0.169142,HTTP,7
0.169142,HTTP,7
0.000492,HTTP,7
0.0,HTTP,7
0.0,HTTP,7
0.0,HTTP,7
0.0,HTTP,7
0.00148,HTTP,7
0.00148,HTTP,7
0.155415,HTTP,7
0.155415,HTTP,7
0.155415,HTTP,7
0.169357,HTTP,7
0.169357,HTTP,7
0.169357,HTTP,7
0.170328,HTTP,7
0.169357,HTTP,7
0.169357,HTTP,7
0.169357,HTTP,7
0.169357,HTTP,7
0.169357,HTTP,7
0.169357,HTTP,7
0.170328,HTTP,7
0.169357,HTTP,7
0.170328,HTTP,7
0.169357,HTTP,7
0.000497,HTTP,7
0.155415,HTTP,7
0.155415,HTTP,7
0.000496,HTTP,7
0.169357,HTTP,7
0.169357,HTTP,7
0.170328,HTTP,7
0.169357,HTTP,7
0.168595,HTTP,7
0.168595,HTTP,7
0.169357,HTTP,7
0.169357,HTTP,7
0.170328,HTTP,7
0.169357,HTTP,7
0.130673,HTTP,7
0.168595,HTTP,7
0.000912,HTTP,7
0.130673,HTTP,7
0.060568,HTTP,7
0.060568,HTTP,7
0.130673,HTTP,7
0.130673,HTTP,7
0.060568,HTTP,7
0.0005,HTTP,7
0.060568,HTTP,7
0.130673,HTTP,7
0.060693,HTTP,7
0.060693,HTTP,7
0.060693,HTTP,7
0.060693,HTTP,7
0.130673,HTTP,7
0.0005,HTTP,7
0.060693,HTTP,7
0.000888,HTTP,7
0.060693,HTTP,7
0.061153,HTTP,7
0.061153,HTTP,7
0.060703,HTTP,7
0.060703,HTTP,7
0.060703,HTTP,7
0.061153,HTTP,7
0.060703,HTTP,7
0.060703,HTTP,7
0.169357,HTTP,7
0.169357,HTTP,7
0.170328,HTTP,7
0.169357,HTTP,7
0.169357,HTTP,7
0.169357,HTTP,7
0.170328,HTTP,7
0.169357,HTTP,7
0.169357,HTTP,7
0.169357,HTTP,7
0.170328,HTTP,7
0.000497,HTTP,7
0.061992,HTTP,7
0.061992,HTTP,7
0.061992,HTTP,7
0.061992,HTTP,7
0.061992,HTTP,7
0.061992,HTTP,7
0.061992,HTTP,7
0.061992,HTTP,7
0.061992,HTTP,7
0.00097,HTTP,7
0.000495,HTTP,7
0.000495,HTTP,7
0.045249,HTTP,7
0.044774,HTTP,7
0.045271,HTTP,7
0.044774,HTTP,7
0.045249,HTTP,7
0.045271,HTTP,7
0.045249,HTTP,7
0.044774,HTTP,7
0.045249,HTTP,7
0.045271,HTTP,7
0.044774,HTTP,7
0.044774,HTTP,7
0.045249,HTTP,7
0.045271,HTTP,7
0.044774,HTTP,7
0.0,HTTP,7
0.00148,HTTP,7
0.0,HTTP,7
0.00149,HTTP,7
0.061879,HTTP,7
0.061879,HTTP,7
0.061879,HTTP,7
0.061879,HTTP,7
0.061879,HTTP,7
0.061836,HTTP,7
0.061836,HTTP,7
0.061836,HTTP,7
0.061836,HTTP,7
0.061879,HTTP,7
0.061879,HTTP,7
0.061879,HTTP,7
0.061879,HTTP,7
0.061836,HTTP,7
0.061836,HTTP,7
0.061879,HTTP,7
0.061879,HTTP,7
0.061836,HTTP,7
0.061836,HTTP,7
0.184758,HTTP,7
0.18425,HTTP,7
0.184758,HTTP,7
0.18425,HTTP,7
0.0,HTTP,7
0.003018,HTTP,7
0.246558,HTTP,7
0.246558,HTTP,7
0.246558,HTTP,7
0.246558,HTTP,7
0.246558,HTTP,7
0.246558,HTTP,7
0.0,HTTP,7
0.001987,HTTP,7
0.26169,HTTP,7
0.26169,HTTP,7
0.26169,HTTP,7
0.26169,HTTP,7
0.246558,HTTP,7
0.26169,HTTP,7
0.26169,HTTP,7
0.26169,HTTP,7
0.26169,HTTP,7
0.26169,HTTP,7
0.26169,HTTP,7
0.246558,HTTP,7
0.26169,HTTP,7
0.26169,HTTP,7
0.26169,HTTP,7
0.26169,HTTP,7
0.26169,HTTP,7
0.001322,HTTP,7
0.001322,HTTP,7
0.001322,HTTP,7
0.246558,HTTP,7
0.001322,HTTP,7
0.001322,HTTP,7
0.246558,HTTP,7
0.246558,HTTP,7
0.246558,HTTP,7
0.246558,HTTP,7
0.0,HTTP,7
0.00149,HTTP,7
0.0,HTTP,7
0.001499,HTTP,7
0.0,HTTP,7
0.002482,HTTP,7
0.290557,HTTP,7
0.290557,HTTP,7
0.290557,HTTP,7
0.290557,HTTP,7
0.0,HTTP,7
0.001502,HTTP,7
0.30766,HTTP,7
0.30766,HTTP,7
0.30766,HTTP,7
0.30766,HTTP,7
0.290557,HTTP,7
0.290557,HTTP,7
0.290557,HTTP,7
0.291188,HTTP,7
0.30766,HTTP,7
0.290557,HTTP,7
0.290557,HTTP,7
0.290557,HTTP,7
0.290557,HTTP,7
0.290557,HTTP,7
0.290557,HTTP,7
0.002482,HTTP,7
0.002482,HTTP,7
0.002482,HTTP,7
0.291188,HTTP,7
0.000992,HTTP,7
0.000992,HTTP,7
0.000495,HTTP,7
0.0,HTTP,7
0.291188,HTTP,7
0.001484,HTTP,7
0.291188,HTTP,7
0.291188,HTTP,7
0.30766,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.0,HTTP,7
0.0,HTTP,7
0.0,HTTP,7
0.0,HTTP,7
0.001998,HTTP,7
0.001987,HTTP,7
0.001987,HTTP,7
0.002493,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.291188,HTTP,7
0.291188,HTTP,7
