pRetran,sMeanPktSz,SrcRetra,PCRatio,SrcWin,SrcLoss,DstRate,SrcLoad,Load,DstLoad,TcpRtt,Sum,AckDat,dTtl,Min,Max,pLoss,DstLoss,Loss,StdDev,Rate,SrcRate,IdleTime,Dur,SrcPkts,SrcGap,DstBytes,DstGap,sTtl,DstWin,TotPkts,DstPkts,Mean,SrcBytes,TotBytes,dMeanPktSz,DstRetra,SynAck,label
0.0,127.0,0.0,-0.0,64128.0,0.0,31.744774,40315.863281,127106.070312,86790.210938,0.061615,0.126005,0.061116,64.0,0.126005,0.126005,0.0,0.0,0.0,0.0,79.361931,39.680965,1721542656.0,0.126005,6.0,0.0,1708.0,0.0,62.0,31872.0,11.0,5.0,0.126005,762.0,2470.0,341.600006,0.0,0.000499,HTTP
0.0,77.349998,0.0,-0.0,137600.0,0.0,207.558533,82125.125,2440208.0,2358082.75,0.061519,0.293893,0.060734,64.0,0.293893,0.293893,0.0,0.0,0.0,0.0,343.662476,132.701355,1721542656.0,0.293893,40.0,0.0,88048.0,0.0,62.0,31872.0,102.0,62.0,0.293893,3094.0,91142.0,1420.129028,0.0,0.000785,HTTP
0.0,73.595741,0.0,-0.0,203136.0,0.0,274.890991,103420.101562,3257733.25,3154313.0,0.061333,0.261922,0.061333,64.0,0.261922,0.261922,0.0,0.0,0.0,0.0,454.33374,175.624802,1721542656.0,0.261922,47.0,0.0,104707.0,0.0,62.0,31872.0,120.0,73.0,0.261922,3459.0,108166.0,1434.342407,0.0,0.0,HTTP
0.0,129.0,0.0,-0.0,64128.0,0.0,42.915508,44288.804688,233391.703125,189102.890625,0.061736,0.116508,0.061238,64.0,0.116508,0.116508,0.0,0.0,0.0,0.0,94.414116,42.915508,1721542656.0,0.116508,6.0,0.0,3304.0,0.0,62.0,31872.0,12.0,6.0,0.116508,774.0,4078.0,550.666687,0.0,0.000498,HTTP
0.0,109.714287,0.0,-0.0,62592.0,0.0,39.779884,34953.257812,223934.234375,188980.96875,0.060608,0.15083,0.058625,64.0,0.15083,0.15083,0.0,0.0,0.0,0.0,86.189751,39.779884,1721542656.0,0.15083,7.0,0.0,4156.0,0.0,62.0,31872.0,14.0,7.0,0.15083,768.0,4924.0,593.714294,0.0,0.001983,HTTP
0.0,108.85714,0.0,-0.0,62592.0,0.0,40.042713,34917.246094,198558.46875,163641.21875,0.060115,0.14984,0.058625,64.0,0.14984,0.14984,0.0,0.0,0.0,0.0,86.759209,40.042713,1721542656.0,0.14984,7.0,0.0,3575.0,0.0,62.0,31872.0,14.0,7.0,0.14984,762.0,4337.0,510.714294,0.0,0.00149,HTTP
0.0,116.0,0.0,-0.0,64128.0,0.0,33.258614,30863.992188,161929.53125,131065.546875,0.060115,0.150337,0.058625,64.0,0.150337,0.150337,0.0,0.0,0.0,0.0,73.168953,33.258614,1721542656.0,0.150337,6.0,0.0,2955.0,0.0,62.0,31872.0,12.0,6.0,0.150337,696.0,3651.0,492.5,0.0,0.00149,HTTP
0.0,116.166664,0.0,-0.0,63488.0,0.0,33.258614,30917.207031,122710.976562,91793.773438,0.060115,0.150337,0.058625,64.0,0.150337,0.150337,0.0,0.0,0.0,0.0,73.168953,33.258614,1721542656.0,0.150337,6.0,0.0,2070.0,0.0,62.0,31872.0,12.0,6.0,0.150337,697.0,2767.0,345.0,0.0,0.00149,HTTP
0.0,116.666664,0.0,-0.0,63488.0,0.0,33.258614,31076.847656,168634.46875,137557.625,0.060115,0.150337,0.058625,64.0,0.150337,0.150337,0.0,0.0,0.0,0.0,73.168953,33.258614,1721542656.0,0.150337,6.0,0.0,3101.0,0.0,62.0,31872.0,12.0,6.0,0.150337,700.0,3801.0,516.833313,0.0,0.00149,HTTP
0.0,116.5,0.0,-0.0,63488.0,0.0,33.368927,31126.535156,173892.15625,142765.625,0.059618,0.14984,0.058625,64.0,0.14984,0.14984,0.0,0.0,0.0,0.0,73.411644,33.368927,1721542656.0,0.14984,6.0,0.0,3208.0,0.0,62.0,31872.0,12.0,6.0,0.14984,699.0,3907.0,534.666687,0.0,0.000993,HTTP
0.0,117.0,0.0,-0.0,64128.0,0.0,36.348042,34021.765625,189067.96875,155046.203125,0.075811,0.137559,0.049021,64.0,0.137559,0.137559,0.0,0.0,0.0,0.0,79.965691,36.348042,1721542656.0,0.137559,6.0,0.0,3199.0,0.0,62.0,31872.0,12.0,6.0,0.137559,702.0,3901.0,533.166687,0.0,0.02679,HTTP
0.0,99.333336,0.0,-0.0,64128.0,0.0,89.608658,51810.097656,791423.6875,739613.5625,0.05998,0.122756,0.048524,64.0,0.122756,0.122756,0.0,0.0,0.0,0.0,162.924835,65.16993,1721542656.0,0.122756,9.0,0.0,12380.0,0.0,62.0,31872.0,21.0,12.0,0.122756,894.0,13274.0,1031.666626,0.0,0.011456,HTTP
0.0,116.666664,0.0,-0.0,64128.0,0.0,32.051285,37435.898438,134230.765625,96794.875,0.061172,0.1248,0.060178,64.0,0.1248,0.1248,0.0,0.0,0.0,0.0,80.128204,40.064102,1721542656.0,0.1248,6.0,0.0,1887.0,0.0,62.0,31872.0,11.0,5.0,0.1248,700.0,2587.0,377.399994,0.0,0.000994,HTTP
0.0,126.199997,0.0,-0.0,64128.0,0.0,32.051285,32371.794922,76794.875,44423.078125,0.061172,0.1248,0.060178,64.0,0.1248,0.1248,0.0,0.0,0.0,0.0,72.115387,32.051285,1721542656.0,0.1248,5.0,0.0,866.0,0.0,62.0,31872.0,10.0,5.0,0.1248,631.0,1497.0,173.199997,0.0,0.000994,HTTP
0.0,118.875,0.0,-0.0,58752.0,0.0,79.650177,53078.875,638921.8125,585842.9375,0.061271,0.125549,0.060773,64.0,0.125549,0.125549,0.0,0.0,0.0,0.0,143.370316,55.755123,1721542656.0,0.125549,8.0,0.0,10113.0,0.0,62.0,31872.0,19.0,11.0,0.125549,951.0,11064.0,919.363647,0.0,0.000498,HTTP
0.0,68.593102,0.0,-0.0,1074688.0,0.0,874.951721,132979.25,10704285.0,10571306.0,0.061271,1.790956,0.060773,64.0,1.790956,1.790956,0.496771,10.0,10.0,0.0,1117.838745,242.328674,1721542656.0,1.790956,435.0,0.0,2368103.0,0.0,62.0,31872.0,2003.0,1568.0,1.790956,29838.0,2397941.0,1510.269775,0.0,0.000498,HTTP
0.0,103.5,0.0,-0.0,58752.0,0.0,76.387779,44304.910156,591852.5,547547.625,0.061214,0.130911,0.06022,64.0,0.130911,0.130911,0.0,0.0,0.0,0.0,137.498001,53.471447,1721542656.0,0.130911,8.0,0.0,9856.0,0.0,62.0,31872.0,19.0,11.0,0.130911,828.0,10684.0,896.0,0.0,0.000994,HTTP
0.0,123.666664,0.0,-0.0,62592.0,0.0,38.503006,31777.814453,250782.90625,219005.09375,0.060805,0.155832,0.059855,64.0,0.155832,0.155832,0.0,0.0,0.0,0.0,77.006012,32.085838,1721542656.0,0.155832,6.0,0.0,4976.0,0.0,62.0,31872.0,13.0,7.0,0.155832,742.0,5718.0,710.857117,0.0,0.00095,HTTP
0.0,116.666664,0.0,-0.0,62592.0,0.0,38.503006,29981.005859,218235.03125,188254.03125,0.060805,0.155832,0.059855,64.0,0.155832,0.155832,0.0,0.0,0.0,0.0,77.006012,32.085838,1721542656.0,0.155832,6.0,0.0,4278.0,0.0,62.0,31872.0,13.0,7.0,0.155832,700.0,4978.0,611.142883,0.0,0.00095,HTTP
0.0,124.333336,0.0,-0.0,64128.0,0.0,13.593653,16910.503906,40264.398438,23353.894531,0.138287,0.294255,0.137217,64.0,0.294255,0.294255,0.0,0.0,0.0,0.0,33.984131,16.992065,1721542656.0,0.294255,6.0,0.0,1073.0,0.0,62.0,31872.0,11.0,5.0,0.294255,746.0,1819.0,214.600006,0.0,0.00107,HTTP
